symbol,exchange,segment
ICICIPRULI,NSE,MID_CAP
IDBI,NSE,LARGE_CAP
IDEA,NSE,MID_CAP
IDFCFIRSTB,NSE,MID_CAP
IEX,NSE,LARGE_CAP
IFCI,NSE,LARGE_CAP
IGIL,NSE,LARGE_CAP
IGL,NSE,LARGE_CAP
IIFL,NSE,LARGE_CAP
IKS,NSE,LARGE_CAP
INDGN,NSE,LARGE_CAP
INDHOTEL,NSE,LARGE_CAP
INDIACEM,NSE,LARGE_CAP
INDIAMART,NSE,LARGE_CAP
INDIANB,NSE,MID_CAP
INDIGO,NSE,LARGE_CAP
INDUSINDBK,NSE,MID_CAP
INDUSTOWER,NSE,MID_CAP
INFY,NSE,LARGE_CAP
INOXWIND,NSE,LARGE_CAP
INTELLECT,NSE,LARGE_CAP
IOB,NSE,LARGE_CAP
IOC,NSE,LARGE_CAP
IPCALAB,NSE,MID_CAP
IRB,NSE,LARGE_CAP
IRCON,NSE,LARGE_CAP
IRCTC,NSE,MID_CAP
IREDA,NSE,MID_CAP
IRFC,NSE,LARGE_CAP
ITC,NSE,LARGE_CAP
ITCHOTELS,NSE,MID_CAP
ITI,NSE,LARGE_CAP
J&KBANK,NSE,LARGE_CAP
JAINREC,NSE,LARGE_CAP
JBCHEPHARM,NSE,LARGE_CAP
JBMA,NSE,LARGE_CAP
JINDALSAW,NSE,LARGE_CAP
JINDALSTEL,NSE,LARGE_CAP
JIOFIN,NSE,LARGE_CAP
JKCEMENT,NSE,MID_CAP
JKTYRE,NSE,LARGE_CAP
JMFINANCIL,NSE,LARGE_CAP
JPPOWER,NSE,LARGE_CAP
JSL,NSE,MID_CAP
JSWCEMENT,NSE,LARGE_CAP
JSWDULUX,NSE,LARGE_CAP
JSWENERGY,NSE,MID_CAP
JSWINFRA,NSE,MID_CAP
JSWSTEEL,NSE,LARGE_CAP
JUBLFOOD,NSE,MID_CAP
JUBLINGREA,NSE,LARGE_CAP
JUBLPHARMA,NSE,LARGE_CAP
JWL,NSE,LARGE_CAP
JYOTICNC,NSE,LARGE_CAP
KAJARIACER,NSE,LARGE_CAP
KALYANKJIL,NSE,MID_CAP
KARURVYSYA,NSE,LARGE_CAP
KAYNES,NSE,LARGE_CAP
KEC,NSE,LARGE_CAP
KEI,NSE,MID_CAP
KFINTECH,NSE,LARGE_CAP
KIMS,NSE,LARGE_CAP
KIRLOSENG,NSE,LARGE_CAP
KOTAKBANK,NSE,LARGE_CAP
KPIL,NSE,LARGE_CAP
KPITTECH,NSE,MID_CAP
KPRMILL,NSE,MID_CAP
LALPATHLAB,NSE,LARGE_CAP
LATENTVIEW,NSE,LARGE_CAP
LAURUSLABS,NSE,MID_CAP
LEMONTREE,NSE,LARGE_CAP
LENSKART,NSE,MID_CAP
